機關名稱,開放時間,地址,電話,分機,手機
臺北市福安兒童服務中心(委託靖娟兒童安全文教基金會),"民眾(開放時)：週三.週五&週六 09:30-12:00,14:00-16:30/員工09:30-18:30
員工：9:30-18:30
",臺北市中正區汀州路1段123號,(02)23391305,316,
光華商場發展協會,每日10:30~21:00,臺北市中正區市民大道3段8號,(02)23917105,,
國立台灣博物館南門園區,週二~週日9:30~17:00,臺北市中正區南昌路1段1號,(02)23822699,5419,
台北花園大酒店,週一~週六11:00~21:30、週日及例假日10:30-21:30,臺北市中正區中華路2段1號,(02)23143300,3251,
公有南門市場,週二~週日9:00~17:00,臺北市中正區羅斯福路1段8號,(02)23218069,,
臺北市政府警察局交通警察大隊,週一~週五8:00~17:00,臺北市中正區愛國西路26號,(02)23752100,1707,
臺北青年職涯發展中心(臺北市就業服務處),週二~週日09:00~18:00,臺北市中正區仁愛路1段17號,(02)23958567,29,
 三創數位生活園區,"週日~周四11:00~21:30
週五~週六11:00~22:00",臺北市中正區市民大道3段2號,, 080 909 3300,
臺北自來水園區,"夏日週二~週日9:00~18:00                
非夏日週二~週日9:00~17:00",臺北市中正區思源街1號,(02)83695091,,
台灣電力股份有限公司,週一~週五8:00~17:00,臺北市中正區羅斯福路3段242號,(02)23666393,,
中央健康保險署臺北業務組,"依門診時間開放
週一~週五8:30~17:00",臺北市中正區公園路15之1號,(02)23486597,,
台北凱撒大飯店,每日10:00~21:30,臺北市中正區忠孝西路1段38號,(02)23115151,2331,
桃園大眾捷運臺北車站,每日06:00~24:00,臺北市中正區鄭州路8號,(02)32838888,80141,
國家表演藝術中心國家兩院廳(國家戲劇院),每日12:00~20:00,臺北市中正區中山南路21之1號,(02)33939842,,
臺灣文創發展股份有限公司(華山1914文創園區),週一~週日09:30~20:30,臺北市中正區八德路1段1號,(02)23581914,581、200、201,
臺北市家庭暴力暨性侵害防治中心委託財團法人現代婦女基金會經營管理(同心園臺北親子會面中心),週二~週日09:00-18:00,臺北市中正區新生南路1段2號,(02)23615295,6801,
國立台灣博物館本館,週二~週日9:30-17:00,臺北市中正區襄陽路2號,(02)23822699,5437,
國立台灣博物館古生物館,週二~週日9:30-17:00,臺北市中正區襄陽路25號,(02)23822699,5437,
國家攝影文化中心(臺北館)                   (大阪商船株式會社台北支店舊址),週二~週日10:00-18:00,臺北市中正區忠孝西路1段70號,(02)89787040,304,
二二八國家紀念館,週一~週日09:00-17:00,臺北市中正區南海路54號,(02)23326228,129,0920817881
臺北市青少年發展暨家庭教育中心,週一~週08:30~21:30,臺北市中正區仁愛路1段17號,(02)23514078,1709,
經濟部地質調查及礦業管理中心,週一~週五8:30~17:00,臺北市中正區中華路1段53號,(02)23113001,481,
臺北市大同區健康服務中心,週一至週五 08:30~17:30,臺北市大同區昌吉街52號,(02)25853227,6639,
臺北市立聯合醫院中興院區/門診,"1.週一至週五 08:00-17:00           
2.週六 08:00-12:00",臺北市大同區鄭州路145號,(02)25523234,6268,
臺北市政府警察局大同分局,週一至週五 00:00-24:00 ,臺北市大同區錦西街200號,(02)25538943,,
臺北市政府工務局衛生下水道工程處,週一至週五 08:30~17:30,臺北市大同區酒泉街235號,(02)25973183,228,
臺北市大同區公所,週一至週五 08:30~17:30,臺北市大同區昌吉街57號,(02)25975323,106,
財政部關務署,週一至週五 08:00~17:00,臺北市大同區塔城街13號,(02)25505511,1130,
臺北市孔廟管理委員會,週二至週日 08:30~21:00,臺北市大同區大龍街275號,(02)25923934,18,
家福股份有限公司重慶分公司,週一至週日 09:00-24:00,臺北市大同區重慶北路2段171號,,,0920817881
萬達通實業股份有限公司臺北轉運站,每日24小時開放,臺北市大同區市民大道1段209號,(02)77335888,3234,
京站時尚廣場/B3,"1.週日至週四及例假日11:00-21:20
2.週五、週六 11:00~21:50",臺北市大同區承德路1段1號,(02)21828888,9213,
京站時尚廣場/2F,"1.週日至週四及例假日11:00-21:20
2.週五、週六 11:00~21:50",臺北市大同區承德路1段1號,(02)21828888,9213,
京站時尚廣場/3F,"1.週日至週四及例假日11:00-21:20
2.週五、週六 11:00~21:50",臺北市大同區承德路1段1號,(02)21828888,9213,
臺北市立社教館大稻埕戲苑,週二至週日 08:30~18:30,臺北市大同區迪化街1段21號,(02)25569101,281,
臺灣銀行(延平分行),週一至週五 08:00~17:00,臺北市大同區南京西路406號,(02)25522859,313,
臺灣銀行(民權分行),週一至週五 09:00~15:30,臺北市大同區承德路2段239號,(02)25530121,214,
臺北市立大同幼兒園,週一至週五 08:00-16:30,臺北市大同區南京西路8號,(02)25595901,,
臺北當代藝術館,週二至週日 10:00-18:00,臺北市大同區長安西路39號,(02)25523721,233,
臺北大眾捷運股份有限公司-民權西路站,週一至週日 06:00~24:00,臺北市大同區民權西路72號,(02)21812345,,
臺北市立圖書館蘭州民眾閱覽室,"1.週二至週六 08:30~21:00
2.週日至週一 09:00~17:00",臺北市大同區昌吉街57號,(02)25981387,,
臺北市立圖書館延平分館,"1.週日、週一 09:00-17:00
2.週二至週六 08:30-21:30(除國定假日及每個月第一個禮拜四休館日)",臺北市大同區保安街47號,(02)25528534,,
臺北市立圖書館大同分館,"1.週日、週一 09:00-17:00
2.週二至週六 08:30-21:30(除國定假日及每個月第一個禮拜四休館日)",臺北市大同區重慶北路3段318號,(02)25943236,,
臺北市立圖書館建成分館,"1.週日、週一 09:00-17:00
2.週二至週六 08:30-21:30(除國定假日及每個月第一個禮拜四休館日)",臺北市大同區民生西路198之20號,(02)25582320,,
臺北大眾捷運股份有限公司-大橋頭站,週一至週日 06:30~24:00,臺北市大同區民權西路223號,(02)21812345,,
臺北市大同親子館,"1.週二至週五 09:30-11:30；14:00-16:00
2.週六至週日 09:30-10:30；13:00-14:00 ；15:30-16:30",臺北市大同區涼州街2之16號,(02)25571403,12,
臺北市政府消防局第四救災救護大隊大同分隊,每日24小時開放,臺北市大同區重慶北路2段223號,(02)25577233,,
臺北市兒童發展評估療育中心,週一至週五 08:00~17:00,臺北市大同區鄭州路145號,(02)25553000,2879,
衛生福利部國民健康署,週一至週五 08:00-17:00,臺北市大同區塔城街36號,(02)25220808,,
臺北大眾捷運股份有限公司-中山站,週一至週日 06:00~24:00,臺北市大同區南京西路55號,(02)21812345,,
臺北市大同運動中心,週一至週日 06:00-22:00 ,臺北市大同區大龍街51號,(02)25920055,701,
台北君品國際大酒店,每日24小時開放,臺北市大同區承德路1段3號,(02)21819950,3012,
三德觀光大飯店股份有限公司,週一至週五 09:00-21:00,臺北市大同區承德路3段49號,(02)25963121,7400,
臺北市政府警察局刑事警察大隊,每日24小時開放,臺北市大同區重慶北路2段219號,(02)23817292,,
國立臺灣博物館鐵道部園區,週一至週日 08:00~17:00,臺北市大同區延平北路1段2號,(02)23822669,5344,
國立臺灣博物館鐵道部園區,週一至週日 08:00~17:00,臺北市大同區延平北路1段2號,(02)23822669,5344,
國立臺灣博物館鐵道部園區,週一至週日 08:00~17:00,臺北市大同區延平北路1段2號,(02)23822669,5344,
台灣新文化運動館,週二至週日 09:30~17:30          ,臺北市大同區寧夏路87號,(02)25570087,206,
臺北市大同士林婦女支持培力中心,週二至週六 09:00~18:00          ,臺北市大同區迪化街1段21號,(02)25580170,11,
臺北市大同區大稻埕遊客中心,周一至周日 09:30-17:30,臺北市大同區迪化街44號,(02)25596802,335,
臺北市萬華區公所,週一至週五08:30~17:30,臺北市萬華區和平西路3段120號,(02)23064468,304,
臺北市萬華區戶政事務所,週一至週五08:30~17:30,臺北市萬華區和平西路3段120號,(02)23062706,5303,
財政部臺北國稅局萬華稽徵所,"週一至週五08:30~12:30
13:30~17:30",臺北市萬華區萬大路1號,(02)23042270,505,0935447734
財政部臺北市國稅局,週一至週五08:00~18:00,臺北市萬華區中華路1段2號,(02)23113711,2736,
臺北市立圖書館萬華分館,"週一及週日09:00~17:00
週二至週六08:30~21:00",臺北市萬華區東園街19號,(02)23391056,,
交通部臺灣鐵路管理局臺北運務段萬華站,"週一至週日
06:00-22:00",臺北市萬華區康定路382號,(02)23020481,,
國立臺灣大學醫學院附設醫院北護分院,"週一至週五08:00~17:30
18:00~21:00",臺北市萬華區內江街87號,(02)23717101,218349,
臺北市立聯合醫院林森院區中醫門診中心,"週一至週五
09:00~17:00
週六09:00~12:00",臺北市萬華區昆明街100號,(02)23887088,3913,
臺北市政府民政局新移民會館（萬華區）,週二至週日09:00~17:00,臺北市萬華區長沙街2段171號,(02)23701046,65,
臺北市私立國興非營利幼兒園(臺北市政府委託財團法人海棠文教基金會辦理),週一至週五07:30~18:00,臺北市萬華區國興路46號,(02)23037771,,
臺北市立萬華幼兒園,"週一至週五
08:00~17:00",臺北市萬華區梧州街36號,(02)23020936,14,
臺北市立南海實驗幼兒園,週一至週五08:00~17:00,臺北市萬華區西藏路424號,(02)23022984,36,
家樂福股份有限公司台北桂林分公司,週一至週日08:00~22:00,臺北市萬華區桂林路1號,"(02)23889887
",850,0935447734
臺北市立圖書館東園分館,"週一及週日09:00~17:00
週二至週六08:30~21:00",臺北市萬華區東園街199號,(02)23070460,,
臺北市立圖書館西園分館,"週一及週日09:00~17:00
週二至週六08:30~21:00",臺北市萬華區興寧街6號,(02)23069046,9,
中華郵政股份有限公司台北莒光郵局,"週一及週五08:30~17:30
週六09:00~12:00",臺北市萬華區莒光路210號,(02)23024649,10,
臺北市萬華運動中心,週一至週日06:00~22:00,臺北市萬華區西寧南路6之1號,(02)23759900,616,0988004164
臺北市立聯合醫院附設萬華門診部,"週一至週五08:00~11:00
13:00~16:00",臺北市萬華區東園街152號,"(02)23395383
",,
西園29服飾創作基地,"週一至週五
13:30~17:00",臺北市萬華區西園路2段9號,(02)23367599,10,
"西門紅樓
(財團法人台北市文化基金會)",週二至週日11:00~20:00,臺北市萬華區成都路10號,(02)23119380,57,
臺北市立圖書館柳?民眾閱覽室,週一至週日09:00~17:00,臺北市萬華區環河南路2段102號,(02)23080586,,
臺北市立圖書館龍山分館,"週一及週日09:00~17:00
週二至週六08:30~21:00",臺北市萬華區桂林路6號,(02)23311497,,
臺灣銀行龍山分行,週一至週五09:00~15:00,臺北市萬華區康定路380號,(02)23088111,326,
臺北市建成地政事務所,週一至週五08:30~17:00,臺北市萬華區和平西路3段120號,(02)23062122,405,
龍山寺地下街商場,週一至週日11:00~20:00,臺北市萬華區西園路1段145號,(02)23065988,1,
龍山文創基地,週二至週日11:00~18:00,臺北市萬華區西園路1段145號,(02)23065988,26,
臺北市畜產運銷股份有限公司,週一至週五08:00~17:00,臺北市萬華區環河南路2段338號,(02)23055115,15,0988004164
臺北市政府社會局龍山老人服務暨日間照顧中心,週一至週五08:30~17:30,臺北市萬華區梧州街36號,(02)23361881,,
臺北市文化基金會剝皮寮歷史街區,週二至週日09:00~18:00,臺北市萬華區廣州街141號,(02)23023199,31,
龍山商場,週一至週五11:00~17:00,臺北市萬華區和平西路3段120號,(02)23369877,,
臺北市萬華親子館,週二至週日09:30~17:00,臺北市萬華區水源路199號,(02)23047468,,
臺北市立文獻館(臺北市政府文化局),"週一至週五
10:00~17:00
週六、週日
13:00~17:00",臺北市萬華區中華路1段174之1號,(02)23115355,13,
臺北製糖所文化園區,"週二至週日
10:00-16:30",臺北市萬華區大理街132-10號, (02) 23067975,3548,
臺北市青年公園高爾夫球練習場,週一至週日08:30~18:00,臺北市萬華區國興路5號,(02)23014409,,
臺北市政府警察局萬華分局,週一至週日08:30~18:00,臺北市萬華區桂林路135號,(02)23317410,,
豪景大酒店股份有限公司,24小時開放,臺北市萬華區環河南路1段77號,(02)23113131,,0920318106
萬華車站地下停車場(好停企業有限公司),24小時開放,臺北市萬華康定路382號,(02)23020127,,
臺北市文山區健康服務中心,"週一至週五
8:30-17:30",臺北市文山區木柵路3段220號,(02)22343501,6852,
考試院,"週一至週五
8:30-17:30",臺北市文山區試院路1號,(02)82366188,6186,
銓敘部,"週一至週五
8:30-17:30",臺北市文山區試院路1之2號,(02)82366772,,
臺北市文山區公所,"週一至週五
8:30-17:30",臺北市文山區木柵路3段220號,(02)29365522,324,
臺北市文山區戶政事務所,"週一至週五
8:30~20:30
每月最後一個上班日
8:30-17:30",臺北市文山區木柵路3段220號,(02)29395885,1305,
臺北市古亭地政事務所,"週一至週五
8:30-17:00",臺北市文山區萬隆街47之12號,(02)29355369,405,
"臺北市政府
警察局文山第一分局",全天候開放使用,臺北市文山區木柵路2段202號,(02)29390534,,
"臺北市政府
警察局文山第二分局",全天候開放使用,臺北市文山區景中街2號,(02)29326804,,
"臺北市政府環境保護局
木柵垃圾焚化廠","週一至週五
8:00-17:00",臺北市文山區木柵路5段53號,(02)22300800,103,0920318106
臺北市政府公務人員訓練處,"週一至週五
8:00-17:00",臺北市文山區萬美街2段20號,(02)29320212,360,
公務人員保障暨培訓委員會,"每週一至五
8:30-17:30",臺北市文山區試院路1之3號,(02)82366923,,
臺北市立聯合醫院政大門診部,"週一至週五14:00-16:30
週一、週三、週五、週六
09:00-11:30
週二、週四18:00-20:00",臺北市文山區指南路2段117號,(02)82377444,,
臺北市立動物園,"週一至週日 
9:00-17:00
(全年無休,除夕除外)",臺北市文山區新光路2段30號,(02)29382300,613,
臺北市立動物園,"週一至週日 
9:00-17:00
(全年無休,除夕除外)",臺北市文山區新光路2段30號,(02)29382300,613,
臺北市立動物園,"週一至週日 
9:00-17:00
(全年無休,除夕除外)",臺北市文山區新光路2段30號,(02)29382300,613,
臺北市立動物園,"週一至週日 
9:00-17:00
(全年無休,除夕除外)",臺北市文山區新光路2段30號,(02)29382300,613,
臺北市立動物園,"週一至週日 
9:00-17:00
(全年無休,除夕除外)",臺北市文山區新光路2段30號,(02)29382300,613,
臺北市立動物園,"週一至週日 
9:00-17:00
(全年無休,除夕除外)",臺北市文山區新光路2段30號,(02)29382300,613,0961138751
臺北市立動物園,"週一至週日 
9:00-17:00
(全年無休,除夕除外)",臺北市文山區新光路2段30號,(02)29382300,613,0961138751
"臺北市立萬芳醫院-
委託財團法人臺北醫學大學辦理",全天候開放使用,臺北市文山區興隆路3段111號,(02)29307930,8653,
臺北市政府環境保護局木柵垃圾焚化廠回饋設施博嘉運動公園,"週二至周日
8:30-21:00",臺北市文山區木柵路4段16號,(02)22395494,30,
臺北市文山運動中心,"每日6:00-22:00
(除夕、初一除外)",臺北市文山區興隆路3段222號,(02)22308268,221,910342453
臺北市文山婦女支持培力中心,"週二至週六9:00-18:00
週三13:00-21:00",臺北市文山區興隆路2段88號,(02)29359595,12,
考選部,"週一至週五
8:30-17:30",臺北市文山區試院路1之1號,(02)22369188,3166,
考選部國家考場,"週一至週五8:30-17:30
考試期間：
考試開始至結束全程開放",臺北市文山區木柵路1段72號,(02)22369188,3166,
財政部臺北國稅局(文山稽徵所),"週一至五
8:30-17:30",臺北市文山區木柵路3段220號,(02)22343833,110,
臺北市藝文推廣處(文山劇場),"週二至週日
9:00-17:00",臺北市文山區景文街32號,(02)29332199,509,
臺北市立圖書館文山分館,"週日及週一9:00-17:00
週二至週六8:30-21:00       ",臺北市文山區興隆路2段160號,(02)29315339,9,
臺北市兆如老人安養護中心,"週一至週五
8:30-17:30",臺北市文山區政大二街129號,(02)29362188,3118,
"臺北市政府社會局
(文山社會福利服務中心)","週一至週五
8:30-17:30",臺北市文山區興隆路2段160號,(02)29323587,,
臺北市立圖書館萬興分館,"週日及週一9:00-17:00 
週二至週六8:30-21:00       ",臺北市文山區萬壽路27號,(02)22345501,9,
"財團法人優人藝術文化基金會
永安藝文館","週二至週六9:00-21:00
週日9:00-18:00",臺北市文山區木新路2段156之1號,(02)29392279,,
臺北市大眾捷運股份有限公司-貓空纜車,週二至週五9:00-21:00 週六及週日8:30-21:00 ,臺北市文山區新光路2段28號,(02)29363730,3250,
臺北市大眾捷運股份有限公司-貓空纜車,週二至週五9:00-21:00 週六及週日8:30-21:00 ,臺北市文山區新光路2段28號,(02)29363730,3250,
臺北市大眾捷運股份有限公司-貓空纜車,週二至週五9:00-21:00 週六及週日8:30-21:00 ,臺北市文山區指南路3段35號,(02)29363730,3206,
臺北市立圖書館力行分館,"週日及週一9:00-17:00
週二至週六8:30-21:00       ",臺北市文山區一壽街22號,(02)86612196,9,
臺北市立文山幼兒園,週一至週五8:00-17:00,臺北市文山區興隆路4段1號,(02)29395526,18,0974017092
臺北市立圖書館景美分館,"週日及週一9:00-17:00
週二至週六8:30-21:00       ",臺北市文山區羅斯福路5段50號,"(02)29328457
",,0910342453
臺北市立圖書館木柵分館,"週日及週一9:00-17:00
週二至週六8:30-21:00       ",臺北市文山區保儀路3號,(02)29397520,9,
臺北市立圖書館萬芳民眾閱覽室,"週日及週一9:00-16:30 
週二至週六8:30-20:30       ",臺北市文山區萬美街1段25號,(02)22305287,,
臺北市立圖書館景新分館,"週日及週一9:00-17:00
週二至週六8:30-21:00       ",臺北市文山區景後街151號,(02)29331244,,
臺北市政府社會局老人自費安養中心,"週一至週五
8:30~17:30",臺北市文山區興隆路4段6號,(02)29393146,3143,
臺北市文山老人養護中心,"週一至週五09:00-17:00
(國定假日不開放)",臺北市文山區興隆路2段8號,(02)89313190,28,
臺北市文山老人服務中心,"週一至週五
8:30-11:30
13:30-17:30",臺北市文山區萬壽路27號,(02)22344893,103,
臺北市公有興隆市場?,"週二至週日
8:00-17:00",臺北市文山區興隆路2段97號,(02)29349714,,
臺北市文山親子館,"週六及週日
9:30-11:00
13:00-14:30
15:30-17:00
週二至週五
9:30-12:00
14:00-17:00
 (每週一及國定假日不開放)",臺北市文山區興隆路2段88號,(02)22365186,,
景美游泳池,"週二及週日
06:00-11:30
13:30-21:30
 (每週一不開放)",臺北市文山區羅斯福路5段50號,(02)29356931,,
國家文官學院,週一至週五 08:00~17:00,臺北市南港區忠孝東路7段576號,(02)26531670,,
臺北市政府警察局南港分局,24小時,臺北市南港區向陽路150號,(02)27837921,,
中央研究院/綜合體育館,週一至週日 09:00~20:00,臺北市南港區研究院路2段128號,(02)27899437,,
中央研究院/人文社會科學館,週一至週日 08:30~17:30,臺北市南港區研究院路2段128號,(02)26525256,5255,
中央研究院/歐美所,週一至週五 07:30~17:30,臺北市南港區研究院路2段128號,(02)27897211,,
臺北市南港運動中心,週一至週日 06:00~22:00,臺北市南港區玉成街69號,(02)26532279,223,0974017092
交通部臺灣鐵路管理局臺北運務段南港站,週一至週日 06:00~24:00,臺北市南港區南港路1段313號,(02)23815226,8378,
交通部臺灣鐵路管理局臺北運務段南港站,週一至週日 06:00~24:00,臺北市南港區南港路1段313號,(02)23815226,8378,
臺北巿立聯合醫院附設南港門診部,週一至週五 08:00~17:00,臺北市南港區南港路1段360號,(02)27868756,,
臺北巿立聯合醫院忠孝院區,"1.週一至週五 09:00~17:00
2.週六 09:00~12:00",臺北市南港區同德路87號,(02)27861288,1833,
南港軟體工業園區管理委員會,24小時,臺北市南港區三重路19之10號,(02)26553093,117,
臺北大眾捷運股份有限公司-南港展覽館站,週一至週日 06:00~隔日01:00,臺北市南港區研究院路1段1號,(02)25505600,6182,
臺北市南港區公所,週一至週五 08:00~17:00,臺北市南港區南港路1段360號,(02)27831343,618,
臺北市立圖書館舊?分館,"1.週二至週六 08:30~21:00
2.週日、週一 09:00~17:00",臺北市南港區舊莊街1段11號,(02)27837212,,
南港國際展覽中心,週一至週日 09:00~17:30,臺北市南港區經貿二路1號,(02)27255200,5513,
財團法人台灣省私立健順養護中心受託經營管理臺北市南港老人服務暨日間照顧中心,週一至週五 09:00~17:00,臺北市南港區重陽路5號,(02)26535311,13,
臺北市南港區戶政事務所,週一至週五 08:30~20:00,臺北市南港區南港路1段360號,(02)27825196,121,
臺北市政府環境保護局山豬窟游泳池,週二至週日 08:30~21:00,臺北市南港區舊莊街1段32號,(02)26511418,126,
北原會館,"1.週一至週五 08:30~20:30
2.週六、週日 08:30~17:00",臺北市南港區向陽路49號,(02)27828740,,
臺北市立南港幼兒園,週一至週五 07:30~18:30,臺北市南港區重陽路28號,(02)27825081,202,
臺北市立圖書館龍華民眾閱覽室,"1.週一、週日 09:00~17:00
2.週二至週六08:30-21:00",臺北市南港區東新街8號,(02)27851740,,
衛生福利部,週一至週五 08:30~17:30,臺北市南港區忠孝東路6段488號,(02)85907845,,
CITY LINK南港店,"週一至週日 11:00~21:30
",臺北市南港區忠孝東路7段369號,(02)26529065,,
CITY LINK南港店,"週一至週日 11:00~21:30
",臺北市南港區忠孝東路7段369號,(02)26529065,,
CITY LINK南港店,"週一至週日 11:00~21:30
",臺北市南港區忠孝東路7段369號,(02)26529065,,
CITY LINK南港店,"週一至週日 11:00~21:30
",臺北市南港區忠孝東路7段369號,(02)26529065,800588115,
CITY LINK南港店,"週一至週日 11:00~21:30
",臺北市南港區忠孝東路7段369號,(02)26529065,,
CITY LINK南港店,"週一至週日 11:00~21:30
",臺北市南港區忠孝東路7段369號,(02)26529065,,
CITY LINK南港店,"週一至週日 11:00~21:30
",臺北市南港區忠孝東路7段369號,(02)26529065,,
台灣高速鐵路股份有限公司南港站,週一至週六 06:00~24:00,臺北市南港區南港路1段313號,(02)66161000,22037,
Global Mall(冠德企業集團環球南港車站),週一至週日 11:00-22:00,臺北市南港區忠孝東路7段371號,(02)27893289,7011,
Global Mall(冠德企業集團環球南港車站),週一至週日 11:00-22:00,臺北市南港區忠孝東路7段371號,(02)27893289,7011,
臺北市立圖書館南港分館,"1.週二至週六 08:30-21:00
2.週日、週一 09:00-17:00",臺北市南港區南港路1段350號,(02)27825232,,
臺北流行音樂中心,24小時,臺北市南港區市民大道99號,(02)27886620,8315,
漢來美食股份有限公司台北南港分公司 ,週一至週五 08:30~17:30,臺北市南港區經貿一路168號,(02)27886868,8921,
南港LaLaport,週一至週日 11:00-21:30,臺北市南港區經貿二路131號,(02)26532888,,
南港LaLaport,週一至週日 11:00-21:30,臺北市南港區經貿二路131號,(02)26532888,,
南港LaLaport,週一至週日 11:00-21:30,臺北市南港區經貿二路131號,(02)26532888,,
南港LaLaport,週一至週日 11:00-21:30,臺北市南港區經貿二路131號,(02)26532888,,
南港LaLaport,週一至週日 11:00-21:30,臺北市南港區經貿二路131號,(02)26532888,,
"三軍總醫院附設民眾診療服務處
（內湖院區）(婦產部/1樓兒科門診)","1.週一至週五 08:00~22:00
2.週六08:00-12:00",臺北市內湖區成功路2段325號,(02)87923311,88087,
"三軍總醫院附設民眾診療服務處
（內湖院區）(婦產部/5樓婦產門診)","1.週一至週五 08:00~22:00
2.週六08:00-12:00",臺北市內湖區成功路2段325號,(02)87923311,88087,
臺北市內湖區麗湖國民小學,週一至週五 08:00-16:00,臺北市內湖區金湖路8號,(02)26343888,126,
臺北市政府環境保護局內湖區垃圾焚化廠,週二至週日 08:30-21:00,臺北市內湖區安康路290號,(02)27961833,352,
全聯實業股份有限公司南湖分公司,週一至週日 07:30~23:00,臺北市內湖區舊宗路1段188號,(02)27905050,555、556,
好市多股份有限公司臺北內湖區分公司,週一至週日 09:00~21:00,臺北市內湖區舊宗路1段268號,(02)77378818,,
臺北市政府消防局防災科學教育館,週二至週日 09:00~12:00；14:00~17:00,臺北市內湖區成功路2段376號,(02)27297668,8315,
家福股份有限公司內湖區分公司,週一至週日 09:00~23:00,臺北市內湖區民善街88號,(02) 27931036,,
臺灣士林地方法院內湖民事辦公大樓,週一至週五 08:30~17:30,臺北市內湖區民權東路6段91號,(02)27911521,2756,
臺北市政府警察局內湖分局,每日24小時開放,臺北市內湖區民權東路6段101號,(02)27909716,,
臺北市政府警察局內湖分局文德派出所,每日24小時開放,臺北市內湖區民權東路6段26號,"(02)27944946
(02)27944952",,
臺北市立圖書館內湖分館,"1.週日、週一 09:00-17:00
2.週二至周六08:30-21:00（每月第一個星期四不開放）",臺北市內湖區民權東路6段99號,(02)27918772,,
臺北市立圖書館東湖分館,"1.週日、週一 09:00-17:00
2.週二至周六08:30-21:00（每月第一個星期四不開放）",臺北市內湖區五分街6號,(02)26323378,,
臺北市立圖書館西湖分館,"1.週日、週一 09:00-17:00
2.週二至周六08:30-21:00（每月第一個星期四不開放）",臺北市內湖區內湖路1段594號,(02)27973183,,
臺北市立內湖幼兒園,週一至週五 07:30~18:30,臺北市內湖區陽光街9號,"(02)27993223
(02)27973504",,
臺北市內湖運動中心,"週一至週日 06:00~22:00
(農曆除夕、初一除外)",臺北市內湖區洲子街12號,(02)26562869,,
哈啦影城有限公司,週一至週日 10:30~22:00,臺北市內湖區康寧路3段72號,(02)26322693,377,
特力股份有限公司,週一至週日 10:00~21:30,臺北市內湖區新湖三路23號,(02)87915985,,
臺北市政府社會局-內湖老人服務中心,週一至週五 08:30~17:30,臺北市內湖區康樂街20號,(02)26325560,13,
臺北市政府產業發展局-臺北市市場處/台北花卉產銷股份有限公司,週一至週六 04:00~12:00,臺北市內湖區新湖三路28號,(02)27909729,802,
臺北市政府產業發展局-臺北市市場處/台北花卉產銷股份有限公司,週一至週六 04:00~12:00,臺北市內湖區新湖三路36號,(02)27909729,802,
臺北市內湖親子館,週二至週日09:30-17:00,臺北市內湖區內湖路1段659號,(02)77097990,,
"潤泰建設股份有限公司
(Citylink內湖店)","週日至週四 11:00~21:30
週五至週六 11:00~22:00",臺北市內湖區成功路4段188號,(02)77096100,103,
臺北市網球中心,週一至週日 06:00~22:00,臺北市內湖區民權東路6段208號,(02)27951166,813,
臺北市立圖書館西中分館,"1.週日、週一 09:00-17:00
2.週二至周六08:30-21:00（每月第一個星期四不開放）",臺北市內湖區內湖路1段66號,(02)87515497,,
臺北市士林區健康服務中心,週一至週五 08:30~17:30,臺北市士林區中正路439號,(02)28813039,7141,
國立故宮博物院,"週二至週日
09:00~17:00",臺北市士林區至善路2段221號,(02)28812021,68874、2267,
國立故宮博物院,"週二至週日
09:00~17:00",臺北市士林區至善路2段221號,(02)28812021,68874、2267,
國立故宮博物院,"週二至週日
09:00~17:00",臺北市士林區至善路2段221號,(02)28812021,68874、2267,
臺灣士林地方法院,週一至週五 08:30~17:30,臺北市士林區士東路190號,(02)28312321,565,
臺北市士林區戶政事務所,週一至週五 08:30~20:00,臺北市士林區中正路439號,(02)28803252,304,
臺北市立陽明教養院,週一至週五 08:30~17:30,臺北市士林區凱旋路9號,(02)28611380,156,
臺北市立天文科學教育館,週二至週日 09:00~17:00 (週六延長至20:00),臺北市士林區基河路363號,(02)28314551,508,
臺北市職能發展學院,週一至週五 08:30~18:00,臺北市士林區士東路301號,(02)28721940,246,
國立臺灣科學教育館,"週二至週五08:00~18:00
週六及週日08:00~17:00",臺北市士林區士商路189號,(02)66101234,1716,
國立臺灣科學教育館,"週二至週五
08:00~17:00
週六及週日
08:00~18:00",臺北市士林區士商路189號,(02)66101234,1716,
臺北市立聯合醫院陽明院區,全日24小時開放,臺北市士林區雨聲街105號,(02)28353456,6280,
大葉高島屋百貨股份有限公司,週一至週日 11:00~22:00,臺北市士林區忠誠路2段55號,(02)28312345,4414、2381,
家樂福股份有限公司天母分公司,週一至週日 08:00~24:00,臺北市士林區德行西路47號,(02)28338042,,
新光三越百貨股份有限公司台北天母分公司,"週一至週日 
11:00~21:30
",臺北市士林區天母東路68號,(02)28756000,3608,
太平洋崇光百貨股份有限公司天母店,週一至週日 11:00~21:30,臺北市士林區中山北路6段77號,(02)28345000,5328,
臺北市立圖書館天母分館,"週日至週一 09:00~17:00
週二至週六 08:30~21:00",臺北市士林區中山北路7段6號,(02)28736203,,
臺灣士林地方法院檢察署,週一至週五 08:00~17:00,臺北市士林區士東路190號,(02)28331911,5803,
臺北市區監理所士林監理站,週一至週五 08:30~17:00,臺北市士林區承德路5段80號,(02)27630155,705,
臺北市士林運動中心,週一至週日 09:00~19:00,臺北市士林區士商路1號,(02)28806066,116,0926380653
特力屋股份有限公司士林分公司,週一至週日 09:30~18:00,臺北市士林區基河路258號,(02)28891000,687,
