行政區,地點,地址,樣態,開放時間,緯度,經度,相對位置,照片連結,管理單位,管理單位電話,備註
信義區,臺北市信義區行政中心,福德街86號,戶外開放式吸菸區,24小時開放,25.03767,121.58134,信義區行政中心西北側(近福德街84巷),,臺北市信義區公所,(02)27239777-109,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市中正區行政中心,羅斯福路1段8號,戶外開放式吸菸區,24小時開放,25.03252,121.51822,中正紀念堂2號出口旁,https://lh3.googleusercontent.com/d/1wWnE7GOE311_2qGzwQmnaskaLCKu8Bxe,臺北市中正區公所,(02)23416721-210,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市大安區行政中心,新生南路2段86號,戶外開放式吸菸區,24小時開放,25.02675,121.53445,行政中心北側,https://lh3.googleusercontent.com/d/1JSEKjxts7tf59-t6sSwgu7EeCmew_Oa4,臺北市大安區公所,(02)23511711-9206,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,臺北市內湖區行政中心,民權東路六段99號,戶外開放式吸菸區,24小時開放,25.06921,121.58947,行政中心平面停車場入口右側,https://lh3.googleusercontent.com/d/1QzsnaThgm2o7eoZWIK2M7UdVUEdVwRt4,臺北市內湖區公所,(02)27925828-328,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,延吉廢鐵道平面停車場,延吉街131巷1弄26號,戶外開放式吸菸區,24小時開放,25.043697,121.55453,延吉街131巷1弄26號前方,,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北市南港區行政中心,南港路1段360號(後門) (興中街12巷側),戶外開放式吸菸區,08:10~18:00,25.054847,121.606778,南港區行政中心(後門),https://lh3.googleusercontent.com/d/1WA192PPw2nkbEMG8kfBFOfB2PN_i0kF7,臺北市南港區公所,(02)27831343-617,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,臺北市中山區行政中心,松江路367號,戶外開放式吸菸區,24小時開放,25.06461,121.53376,行政中心北側門車道出口旁(臨農安街166巷口),https://lh3.googleusercontent.com/d/1DCfZa829TJUPh5zRmwvDixHAxWg26eT2,臺北市中山區公所,(02)25031369-201或617,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,行一大客車平面停車場,北平東路及天津街口,戶外負壓式吸菸區,08:00~24:00,25.04744,121.52212,停車場出入口右側草坪,,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,西門町商圈1,衡陽路105號,戶外負壓式吸菸區,08:00-24:00,25.042271,121.508744,捷運西門站4號出口後方,,臺北市中正區公所,(02)23416721,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,西門町商圈2,中華路1段138號,戶外負壓式吸菸區,08:00-24:00,25.04335,121.508365,臺灣鹽酥雞 西門直營店前,,臺北市萬華區公所,(02)23064468-285,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,西門町商圈3,武昌街2段37號,戶外負壓式吸菸區,08:00-24:00,25.04471,121.507575,屈臣氏旁,,臺北市萬華區公所,(02)23064468-285,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,中國信託金融園區1,經貿二路168號,戶外開放式吸菸區,24小時開放,25.058479,121.616429,A棟吸煙區,,中國信託商業銀行股份有限公司（中國信託金融園區管理中心）,(02)33277777-6885、8130,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,中國信託金融園區2,經貿二路188號,戶外開放式吸菸區,24小時開放,25.059652,121.615073,B棟吸煙區,,中國信託商業銀行（中國信託金融園區管理中心）,(02)33277777-6885、8130,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,中國信託金融園區3,經貿二路188-1號,戶外開放式吸菸區,24小時開放,25.058311,121.614598,C棟吸煙區,,中國信託商業銀行（中國信託金融園區管理中心）,(02)33277777-6885、8130,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,臺北市松山區行政中心,八德路4段692號,戶外開放式吸菸區,24小時開放,25.049572,121.577141,行政中心後方空地,https://lh3.googleusercontent.com/d/1AIJzK3nf7tLqfpf0R6KRVmeJbAxP1FGn,臺北市松山區公所,(02)87878787-116,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,臺北市大同區行政中心,昌吉街57號1樓,戶外開放式吸菸區,24小時開放,25.06623,121.51601,行政中心西側,,臺北市大同區公所,(02)25975323-607,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,心中山商圈-線形公園1,大同區南京西路25巷,戶外負壓式吸菸區,08:00-24:00,25.053772,121.520337,中山地下街R7出口後方,https://lh3.googleusercontent.com/d/1vX5o7eLrRcQi0ZCKkyhvN3ThdkbihQX7,臺北大眾捷運股份有限公司,(02)21812345,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,建民公園旁,文林北路80巷90弄33-1號,戶外開放式吸菸區,24小時開放,25.106348,121.52067,福興宮旁空地,https://lh3.googleusercontent.com/d/1gncA3epeAf9fxEO1_kNNttFvtCqGTdsz,臺北市北投區公所,(02)28282580,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,文林橋下,文林北路53巷、文林路5巷交叉口,戶外開放式吸菸區,24小時開放,25.102146,121.517612,中正高中斜對面,https://lh3.googleusercontent.com/d/1YM9tWQ2ST6gfnNpoSfktBZhoHQGvzl2c,臺北市北投區公所,(02)28226177,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,西湖派出所旁,瑞光路515號,戶外開放式吸菸區,24小時開放,25.079277,121.569017,西湖派出所右側空地,,臺北市內湖區公所,(02)27925828-230,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,西湖綜合大樓,內湖路1段285號,戶外開放式吸菸區,24小時開放,25.08286,121.56677,市場入口側及機車臨停區域,https://lh3.googleusercontent.com/d/1ulKUuLHTa-nkO3yaA92Mw7JURHrMRKth,臺北市內湖區公所,(02)27925828-230,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,興隆路3段192巷8弄路口,興隆路3段192巷8弄與興隆路3段交叉口,戶外開放式吸菸區,24小時開放,24.99661,121.55975,興隆路3段192巷8弄路口,https://lh3.googleusercontent.com/d/1caueaSXcgxp9B5oG4D_4sTsUNgxqaEm-,臺北市文山區公所,(02)29365522-213,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,臺北市文山運動中心,興隆路3段222號,戶外開放式吸菸區,24小時開放,24.99696,121.55909,運動中心後門停車場空地,,臺北市文山運動中心,(02)22308268,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,南港軟體園區1,園區街3號(園區G棟2樓東側),戶外開放式吸菸區,24小時開放,25.0577852,121.6121641,南港軟體園區2樓東側,https://lh3.googleusercontent.com/d/1BlqlotEVh1PaHgejyXEhQRd-JO11pMHV,臺北市南港區公所,(02)27850268,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,南港軟體園區2,園區街3號(園區H棟2樓東側),戶外開放式吸菸區,24小時開放,25.057326,121.61214,南港軟體園區2樓東側,https://lh3.googleusercontent.com/d/1pBKdAQaIOVh7D_klJYvyjzM-p4fo4nWQ,臺北市南港區公所,(02)27850268,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,板溪里綠地內1,晉江街4巷內綠地,戶外開放式吸菸區,24小時開放,25.026265,121.520554,綠地內左側,,臺北市中正區公所,(02)23416721-258,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,板溪里綠地內2,和平西路1段36號旁綠地,戶外開放式吸菸區,24小時開放,25.026467,121.52023,綠地內左側,https://lh3.googleusercontent.com/d/1ZRU7K8omJCUYRMwuU_JlKtBPjtgG96mV,臺北市中正區公所,(02)23416721-258,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,中山區第一停車場,民權東路2段145號,戶外開放式吸菸區,24小時開放,25.062856,121.536609,建國北路3段小客車出入口旁,https://lh3.googleusercontent.com/d/1I_IOpqXK5yx-YaI2N_Y2bQQzNBJIqYhJ,臺北市中山區公所,(02)25031369-362,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,建國高架橋下,民權東路2段與建國北路3段交叉口,戶外開放式吸菸區,24小時開放,25.062563,121.536935,嘟嘟房停管中心側,https://lh3.googleusercontent.com/d/1-kn6DpEAlICSf_EkEAX2M5EIcSEiILe1,臺北市中山區公所,(02)25031369-362,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,鄰近臺北好好看公園,康定路239號旁之綠地外退縮地,戶外開放式吸菸區,24小時開放,25.0351,121.50148,康定路239號旁之綠地外退縮地,,臺北市萬華區公所,(02)23064468-114,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,西園路1段306巷6號及艋舺大道交叉口,西園路1段306巷6號及艋舺大道交叉口,戶外開放式吸菸區,24小時開放,25.033325,121.498443,西園路1段306巷6號及艋舺大道交叉口,,臺北市萬華區公所,(02)23064468-114,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,重慶北路3段與昌吉街路口,重慶北路3段145號人行道,戶外開放式吸菸區,24小時開放,25.0685,121.51398,重慶北路3段145號人行道,,臺北市大同區公所,(02)25975323-607,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,重慶北路3段與民族西路路口,重慶北路3段61號人行道,戶外開放式吸菸區,24小時開放,25.06633,121.51394,重慶北路3段61號人行道,,臺北市大同區公所,(02)25975323-607,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,慈祐區民活動中心(八德立體停車場),八德路4段580號,戶外開放式吸菸區,24小時開放,25.049535,121.571447,慈祐里辦公處旁,https://lh3.googleusercontent.com/d/1gSwgfjQFdnomtxDSdWRNWE5sWYHBFs5I,臺北市松山區公所,(02)87878787-818,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,饒河疏散門(基四號疏散門) 旁,饒河街221巷5號,戶外開放式吸菸區,24小時開放,25.051388,121.576431,饒河疏散門(基四號疏散門) 旁,https://lh3.googleusercontent.com/d/16MGZ_I7fFjniQhIfMebHnuKKTnYMqy-n,臺北市松山區公所,(02)87878787-818,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,天母SOGO百貨,中山北路6段77號,戶外開放式吸菸區,24小時開放,25.104638,121.523915,天母SOGO停車場旁,,臺北市士林區公所,(02)28826200,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,中鼎集團大樓,德行西路25號,戶外開放式吸菸區,24小時開放,25.10595,121.524078,中鼎集團大樓旁停車場,,臺北市士林區公所,(02)28826200,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,新坡福德宮,吳興街600巷46號,戶外開放式吸菸區,24小時開放,25.01918,121.5705304,新坡福德宮金爐旁空地,https://lh3.googleusercontent.com/d/19JwXiFZVpvqhD8vHdNQEtKIZsDaoXZcN,臺北市信義區公所,(02)27239777,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,三張犁派出所後,信義路5段17號,戶外開放式吸菸區,24小時開放,25.03311,121.5677,三張犁派出所後,,臺北市信義區公所,(02)27239777,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,新生南路1段與八德路2段交叉口(125號綠地)旁邊,新生南路1段1號,戶外開放式吸菸區,24小時開放,25.044348,121.533076,北科大綠光庭園出口左側,,臺北市大安區公所,(02)23511711,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,濟南路3段與建國南路1段路口高架橋下,濟南路3段72號對面建國高架橋下,戶外開放式吸菸區,24小時開放,25.040057,121.537477,彩券行對面建國高架橋下,,臺北市大安區公所,(02)23511711,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,臺北市市政大樓3,市府路1號1樓西北區,戶外開放式吸菸區,24小時開放,25.038015,121.563943,1樓西北區露臺,https://lh3.googleusercontent.com/d/1qZysbbp7mY8VSrIZe8Wsu8TagIjY2aJh,臺北市市政大樓公共事務管理中心,(02)27208889-8608,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,臺北小巨蛋,南京東路4段2號,戶外開放式吸菸區,24小時開放,25.049929,121.549278,臺北小巨蛋近地下停車場出入口,https://lh3.googleusercontent.com/d/1q8BGGmDCM5IIeQ0jEzh3hU9yZUhX3hnF,北捷遊憩股份有限公司,(02)25783536-164,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,財政局停車場1,汀州路2段13巷2弄11號旁,戶外開放式吸菸區,24小時開放,25.0263,121.51514,停車場設車阻處,https://lh3.googleusercontent.com/d/15TRzoenXZ5atQkOLeiIk1PaMkpc2RFcN,臺北市政府財政局,(02)27208889-1155,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,財政局停車場2,信義路2段243巷巷口,戶外開放式吸菸區,24小時開放,25.03386,121.53095,繳費機旁臨人行道側,https://lh3.googleusercontent.com/d/1PpWFgT1YLgPOuTucFBGiG3wCFPblWfCy,臺北市政府財政局,(02)27208889-1155,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,財政局停車場3,中山北路2段44巷2號旁,戶外開放式吸菸區,24小時開放,25.054616,121.521104,運動中心南側停車場西側位置（臨中山北路2段42巷）,,臺北市政府財政局,(02)27208889-1186,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,新生北路二段78號橋下,新生北路2段78號橋下,戶外開放式吸菸區,24小時開放,25.05781,121.52757,橋下迴轉道,https://lh3.googleusercontent.com/d/1ZfiX07xfDWgp6YfaktJnrUtZLJCojWdg,臺北市政府工務局新建工程處,(02)25413092,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,內湖污水處理廠,舊宗路2段2號,戶外開放式吸菸區,24小時開放,25.068039,121.574548,舊宗路2段西側靠內湖休閒運動公園側,,臺北市政府工務局工務局衛生下水道工程處,(02)87919494-157,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,抽水站總管理中心,中山區濱江街3號,戶外開放式吸菸區,24小時開放,25.071112,121.529195,總管理中心1樓左側,https://lh3.googleusercontent.com/d/1bFZTKHPETX-KTjoo7s51tp1FQNx0EP_v,臺北市政府工務局工務局水利處,(02)25956630,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,士林官邸公園,福林路60號,戶外開放式吸菸區,24小時開放,25.095148,121.530964,士林官邸公園門口前往左走至滯洪池處,https://lh3.googleusercontent.com/d/1Hzg2ONrc6jf5z0Je67ADnixJ0v1j9xRo,臺北市政府工務局工務局公園處,(02)28812512,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,劍潭青年活動中心,中山北路4段16號,戶外開放式吸菸區,24小時開放,25.077703,121.523975,住宿大樓北側草坪區(涼亭),https://lh3.googleusercontent.com/d/1e4QS6YwWpQ8X-NSLL-dCkhmDVlW7_HQj,臺北市政府工務局工務局大地處,(02)27593001-3324,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市政府警察局中正第一分局,公園路15號,戶外開放式吸菸區,24小時開放,25.045211,121.517521,分局本部後門外,https://lh3.googleusercontent.com/d/1cGcZvgY30cdeDO3GQPjyNyxmCpXSclzy,臺北市政府警察局中正第一分局,(02)23143306,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,臺北市政府警察局士林分局,文林路235號,戶外開放式吸菸區,24小時開放,25.090668,121.526303,分局本部後門外,https://lh3.googleusercontent.com/d/1Y7dy6Vvb6GrFFlE-UkPiYBka3MH8n-2l,臺北市政府警察局士林分局,(02)28813851,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,臺北市政府警察局北投分局大屯派出所,中和街534號,戶外開放式吸菸區,24小時開放,25.145547,121.493381,派出所外左側空地,https://lh3.googleusercontent.com/d/1jk2NDGhS_21wjdsj718WmZCZ9HjjCcYp,臺北市政府警察局北投分局,(02)28913807,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,臺北市政府警察局刑事警察大隊,重慶北路2段219號,戶外開放式吸菸區,24小時開放,25.061303,121.513816,大隊本部外右後方空間,https://lh3.googleusercontent.com/d/16g5F0b1mjUci6_ePNCVK8L9z-6u_pMSr,臺北市政府警察局刑事警察大隊,(02)23817238,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,臺北市政府警察局少年警察隊暨婦幼警察隊,信義路5段180號,戶外開放式吸菸區,24小時開放,25.033011,121.574448,隊本部外右側空間,https://lh3.googleusercontent.com/d/1KSY8gfa6VKb6S20U-YyQDOMDvBPAEAGj,臺北市政府警察局少年警察隊暨婦幼警察隊,(02)27599992,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,臺北市政府警察局民防管制中心,中山北路5段378巷31號,戶外開放式吸菸區,24小時開放,25.090121,121.529928,中心本部外前方空地,https://lh3.googleusercontent.com/d/1s5G5ansPKQXGbQy6bTPugZYvlrqY_LHZ,臺北市政府警察局民防管制中心,(02)88611124-1161,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,山豬窟游泳池館,舊莊街1段290巷32號,戶外開放式吸菸區,24小時開放,25.03216,121.62427,山豬窟游泳池館西北側,https://lh3.googleusercontent.com/d/1GqVyPvStqQfnlbgRmBDtL90ug7YdUxBv,臺北市政府環境保護局,(02)26511434-122,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,內湖再生家具展示拍賣場,行忠路178巷1號,戶外開放式吸菸區,05:00-22:00,25.06624,121.58403,資源回收場出入口左側人行道退縮空地,https://lh3.googleusercontent.com/d/16NtSfNZOt2IZvV6xQN660m6wXqGjk-xX,臺北市政府環境保護局,(02)27919622-304,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,葫蘆洲運動公園,安康路228巷20號,戶外開放式吸菸區,24小時開放,25.06273,121.60358,葫蘆洲運動公園內，內湖垃圾焚化廠警衛室後方,https://lh3.googleusercontent.com/d/13uacFm6fEHqNPffaCRsWg2gx9gg8KFKl,臺北市政府環境保護局內湖垃圾焚化廠,(02)27961833-352,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,博嘉運動公園,木柵路4段159巷16號,戶外開放式吸菸區,24小時開放,25.00076,121.5754,1樓側門旁,https://lh3.googleusercontent.com/d/1IXdTVw7XHMIW4Uof27vW1StJOFdcfYDE,臺北市政府環境保護局木柵垃圾焚化廠,(02)22395494,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,洲美運動公園,洲美街271號,戶外開放式吸菸區,24小時開放,25.10953,121.4991,回饋設施主題館外,https://lh3.googleusercontent.com/d/1AdAbCKT08coyRaia7NFggvqcsIVBIyMf,臺北市政府環境保護局北投垃圾焚化廠,(02)28360050-112,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,自來水園區1,思源街1號,戶外開放式吸菸區,24小時開放,25.01231,121.53282,淤泥場旁,https://lh3.googleusercontent.com/d/1W9xtt5g4RFm1bUQwRPvmlshHrxWzs4MP,臺北自來水事業處,(02)83695002,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,自來水園區2,思源街1號,戶外開放式吸菸區,24小時開放,25.01088,121.52879,水岸廣場(河堤邊),https://lh3.googleusercontent.com/d/10H348Dfad26RmscczwZYGxbnuwJQqSwK,臺北自來水事業處,(02)83695002,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,東區營業分處,光復北路266號,戶外開放式吸菸區,24小時開放,25.05943,121.55456,1樓側門戶外空間,https://lh3.googleusercontent.com/d/1a3J6yKw9iInfWGcmpmqKCQj7BIo0jg4U,臺北自來水事業處東區營業分處,(02)87703357,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,西區營業分處,牯嶺街38號,戶外開放式吸菸區,24小時開放,25.02967,121.51646,建物側邊機車停放處,https://lh3.googleusercontent.com/d/16ufGM5leYDO9rOM7AXWhZbiiCrt8E8Bj,臺北自來水事業處西區營業分處,(02)33431651,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,陽明營業分處,中山北路5段82之1號,戶外開放式吸菸區,24小時開放,25.08396,121.52613,1樓門口右前方-停車場旁空地,,臺北自來水事業處陽明營業分處,(02)28882103,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,捷運工程局第一區工程處,大業路527巷86號1樓,戶外開放式吸菸區,24小時開放,25.135031,121.484214,中央試驗大樓前門往停車場方向入口處,https://lh3.googleusercontent.com/d/1M-v72x8rFcZgRXglEVOX2Wa3WyN3Nbwi,臺北市政府捷運工程局第一區工程處,(02)28969633-326,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,捷運行政大樓,中山北路2段48巷7號,戶外開放式吸菸區,24小時開放,25.055959,121.521574,捷運行政大樓1樓廣場左側(面對捷運大樓),,臺北市政府捷運工程局,(02)25215550-8640,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,防災館,成功路2段376號,戶外開放式吸菸區,24小時開放,25.06968,121.59022,防災館成功路側與內湖分隊之間空間,https://lh3.googleusercontent.com/d/16oUHfLNqQBqDVRYBF7m-HBSdwRGKUBJ3,臺北市政府消防局,(02)27297668-8315,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,木柵分隊,木柵路二段200號,戶外開放式吸菸區,24小時開放,24.99043,121.56676,木柵分隊車庫旁,https://lh3.googleusercontent.com/d/10QFPV7L5Y8YDwC1rQGh9djEhQHFeNb_H,臺北市政府消防局木柵分隊,(02)27297668-7132,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,信義分隊,松仁路1號,戶外開放式吸菸區,24小時開放,25.04063,121.56923,信義分隊1樓東側草皮空地,https://lh3.googleusercontent.com/d/1OwRxCtztHNth7PPBzf0U2Rd5_s5J04fS,臺北市政府消防局信義分隊,(02)27297668-7235,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,圓山分隊,民族東路41號,戶外開放式吸菸區,24小時開放,25.068637,121.53015,圓山分隊駐地旁空地,https://lh3.googleusercontent.com/d/16xhbu8YGuXgzeYwTB4MZl2slueyVuS-R,臺北市政府消防局圓山分隊,(02)27297668-7334,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,大同分隊,重慶北路二段223號,戶外開放式吸菸區,24小時開放,25.06136,121.51402,大同分隊1樓後側停車場出口右側,https://lh3.googleusercontent.com/d/1kS8-rWwoXTclO_V1m_Ly9tKR-8LPKk3f,臺北市政府消防局大同分隊,(02)27297668-7453,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,貓空纜車,新光路2段8號,戶外開放式吸菸區,24小時開放,24.995765,121.576208,纜車動物園站外近水舞劇場,https://lh3.googleusercontent.com/d/1axSi7u7bDZecfiuBO4-YmwTSGp_uYcwZ,北捷遊憩股份有限公司,(02)25783536-164,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,臺北捷運-北投園區,大業路527巷88號,戶外開放式吸菸區,24小時開放,25.13436,121.48341,北投會館南側,https://lh3.googleusercontent.com/d/197zHA-JG3LaQ2VLM5Bf1uMs5381fW-ID,臺北大眾捷運股份有限公司,(02)21812345,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,捷運線形公園,市民大道1段209號,戶外開放式吸菸區,24小時開放,25.048947,121.519252,中山地下街R1出口後廣場,https://lh3.googleusercontent.com/d/11DxOitKe4ZWIAIO1u8D6QFY1RdCOoobZ,臺北大眾捷運股份有限公司,(02)21812345,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,臺北廣播電臺,中山北路3段62-2號3、4樓,戶外開放式吸菸區,24小時開放,25.072776,121.523633,1樓停車場入口旁,https://lh3.googleusercontent.com/d/1w4AprwPx6QH8JoRpxLQ1ma1KTTC79DSK,臺北廣播電臺,(02)25951233-51,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,宏匯瑞光廣場,瑞光路335號旁戶外吸菸區,戶外開放式吸菸區,24小時開放,25.077504,121.574696,臺北市內湖區瑞光路335號旁戶外吸菸區,https://lh3.googleusercontent.com/d/195NSpK8yxemgDTbM-5C0UiL9A04QI6wE,臺北市內湖區公所,(02)7717-2121,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,士東市場,士東路100號,戶外開放式吸菸區,24小時開放,25.1119,121.5294,士東市場頂樓,https://lh3.googleusercontent.com/d/18ZUMXqh02AlFU0GA-99TES85FCEYE5oD,臺北市市場處,(02)28345308,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,環南市場1,環河南路2段245號,戶外開放式吸菸區,24小時開放,25.02825,121.48938,環南市場一期碼頭(環河南路側),https://lh3.googleusercontent.com/d/1QsYSuFF52gYJmKJtB5qYfjGoP-iva9fZ,臺北市市場處,(02)23051160,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,環南市場2,環河南路2段245號,戶外開放式吸菸區,24小時開放,25.02944,121.49052,環南市場二期碼頭(西藏路側),https://lh3.googleusercontent.com/d/16fHtr1mWyP9yY5EuYgJ9E2mlrOZ1g0kP,臺北市市場處,(02)23051160,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市政府衛生局社區心理衛生中心,金山南路1段5號,戶外開放式吸菸區,8:30-22:00,25.04161,121.52958,中庭處,,臺北市政府衛生局社區心理衛生中心,(02)3393-6779-24,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,臺北市大同區健康服務中心,昌吉街52號,戶外開放式吸菸區,24小時開放,25.06565,121.51609,中心大樓後方人行道,,臺北市大同區健康服務中心,(02)25853227-6659,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,臺北市北投區健康服務中心(環境檢驗大樓),石牌路2段111號,戶外開放式吸菸區,24小時開放,25.118428,121.517009,,,臺北市北投區健康服務中心(環境檢驗大樓),(02)28261026-7263,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,臺北市立聯合醫院松德院區,松德路309號,戶外開放式吸菸區,24小時開放,25.030589,121.575253,第一院區與急診室之間戶外區域,,臺北市立聯合醫院松德院區,(02)27263141-1378,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,致遠公園,石牌路1段166巷側,戶外開放式吸菸區,24小時開放,25.111644,121.515542,致遠公園（石牌路一段166巷側）,https://lh3.googleusercontent.com/d/1_6O3jI9q4aIjf7Amegma6UaitgeW6HuN,臺北市北投區公所,(02)28231593,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,榮光公園,西安街1段313巷16弄側,戶外開放式吸菸區,24小時開放,25.114827,121.514609,榮光公園旁（西安街一段313巷16弄側）,,臺北市北投區公所,(02)28231593,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,臺北市立動物園,新光路2段30號,戶外開放式吸菸區,24小時開放,24.997232,121.579287,動物保育公園貓空纜車意象後方,,臺北市立動物園,(02)29382300-302,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,臺北市立美術館,中山北路3段181號,戶外開放式吸菸區,依本館開館時間開放,25.07159,121.52493,鄰近停車場旁之六米廊道底端,,臺北市立美術館,(02)25957656,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,臺北市政府警察局內湖分局文德派出所,民權東路六段26號,戶外開放式吸菸區,24小時開放,25.06633,121.578965,文德派出所後方空間,,臺北市政府警察局內湖分局,(02)27909716,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,臺北市政府警察局大同分局,錦西街200號,戶外開放式吸菸區,24小時開放,25.059322,121.515342,分局本部左側門外,,臺北市政府警察局大同分局,(02)25532639,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,臺北市政府警察局中山分局,中山北路2段1號,戶外開放式吸菸區,24小時開放,25.052659,121.523015,分局本部外後門機車臨時停放區,,臺北市政府警察局中山分局,(02)25415341,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市政府警察局中正第二分局泉州派出所,中華路二段503號,戶外開放式吸菸區,24小時開放,25.024343,121.512081,泉州所外右側空地,,臺北市政府警察局中正第二分局,(02)23752041,本位置資訊僅供參考，實際情形以現場公告及標示為準
