序號,類別,檢收站名稱,地址,電話,分機
350,藥局,佳龍藥局,臺北市南港區研究院路2段80號,(02)27885951,
351,藥局,勝安藥局,臺北市南港區舊庄街1段165號1樓,(02)27828450,
352,藥局,小藥師健保藥局,臺北市南港區福德街320-1號1樓,(02)27867002,
353,藥局,成福大藥局,臺北市南港區成福路8號,(02)27859221,
354,藥局,健涵藥局,臺北市南港區舊莊街1段145巷10號,(02)27837285,
355,藥局,杏安藥局,臺北市南港區昆陽街140巷16號,(02)27864119,
356,藥局,心亮藥局,臺北市南港區玉成街66-7號,(02)27881677,
357,藥局,東明藥局,臺北市南港區東明街3號,(02)26559663,
358,藥局,躍獅西園藥局,臺北市萬華區西園路2段260號1樓,(02)23094063,
359,藥局,長泰藥局,臺北市萬華區西園路2段280號,(02)23012869,
360,藥局,柏祥藥局,臺北市萬華區西藏路141號1樓,(02)23018272,
361,藥局,您永安藥局,臺北市萬華區昆明街162號,(02)23317119,
362,藥局,世欣藥局,臺北市萬華區東園街173號1樓,(02)23074263,
363,藥局,欣安藥局,臺北市萬華區東園街192號,(02)23327830,
364,藥局,信昌藥局,臺北市萬華區長泰街36號1樓,(02)23054898,
365,藥局,康之友藥局,臺北市萬華區青年路20號,(02)23011598,
366,藥局,信義藥局,臺北市萬華區青年路28號,(02)23074599,
367,藥局,生活大藥局,臺北市萬華區貴陽街2段124號,(02)23618609,
368,藥局,榮勝藥局,臺北市萬華區萬大路233號,(02)23331121,
369,藥局,皇祥藥局,臺北市萬華區萬青街165號1樓,(02)23375676,
370,藥局,民鈺藥局,臺北市萬華區環河南路2段139號1樓,(02)23028466,
371,藥局,啟仁藥局,臺北市萬華區環河南路2段177號,(02)23362771,
372,藥局,專品藥局,臺北市萬華區長沙街2段71-1號,(02)23718892,
373,藥局,光華藥局,臺北市萬華區華西街19之5號,(02)23613609,
374,藥局,萬華健業藥局,臺北市萬華區東園街68號之3,(02)23012292,
375,藥局,聯慶大藥局,臺北市萬華區萬大路306號,(02)23039850,
376,藥局,西園宏越藥局,臺北市萬華區西園路2段213號,(02)23097336,
377,藥局,健誠大藥局,臺北市萬華區環河南路2段185號,(02)23042223,
378,藥局,恩達藥局,臺北市萬華區梧州街64號,(02)23024467,
