seqno,停車場ID,營運id,營運單位,對應停車場,狀態,電話,郵遞區號,地址,說明
212,68002,16,日月亭股份有限公司,文昌國小地下停車場,1,0935-222-270,111,臺北市士林區文林路615巷20號B1-B2停車場,委外場次
213,68003,16,日月亭股份有限公司,百齡高中地下停車場,1,0935-222-270,111,臺北市士林區承德路4段175號B3停車場,委外場次
214,68004,16,日月亭股份有限公司,兒童新樂園停車場,1,02-2834-5378,111,臺北市士林區承德路5段55號,委外場次
215,68005,16,日月亭股份有限公司,臺北表演藝術中心停車場,1,0952-152-399,111,臺北市士林區劍潭路1號,委外場次
216,68006,16,日月亭股份有限公司,東明公共社宅甲區地下停車場,1,02-26519756,115,臺北市南港區南港路二段 60 巷 12 、 16 、 18 號地下 1~3 層,委外場次
217,68007,16,日月亭股份有限公司,東明公共社宅乙區地下停車場,1,02-26519756,115,臺北市南港區南港路二段 38 巷 6 號 含 1~ 之 3) 及 60 巷 13 號地下 1 4 層,委外場次
218,69001,18,臺北大眾捷運股份有限公司,捷運淡水站轉乘停車場,1,02-2550-5600#437,251,新北市淡水區中正路1號,捷運公司營運
219,69002,18,臺北大眾捷運股份有限公司,捷運劍潭站轉乘停車場,0,02-2550-5600#321,111,臺北市士林區中山北路五段65號,捷運公司營運
220,70001,17,偉模科技股份有限公司,明倫社會住宅地下停車場,1,02-25911693,103,臺北市大同區承德路3段285號B1,委外場次
221,70002,17,偉模科技股份有限公司,木柵社會住宅地下停車場,0,02-86619279,116,臺北市文山區久康街24巷36號B1,委外場次
222,71001,21,助安企業有限公司,瑞光社會住宅停車場,1,0800-232-168,114,臺北市內湖區瑞光路160號地下第一至第四層樓,委外場次
223,71002,21,助安企業有限公司,新奇岩社會住宅地下停車場,1,0800-232-168,112,臺北市北投區磺港路261號地下第一至地下第三層樓,委外場次
224,71003,21,助安企業有限公司,中南社會住宅地下停車場,1,0800-232-168,115,臺北市南港區舊莊街1段3巷42號地下第一至地下第三層樓,委外場次
225,72001,23,聯永物業股份有限公司,青年一期社會住宅地下停車場,1,0905-118-309,108,臺北市萬華區青年路 188 號地下第一至地下第二層樓,委外場次
226,72002,23,聯永物業股份有限公司,健康1區社會住宅地下停車場,1,0905-118-571,105,臺北市松山區健康路 285 號地下第一至地下第三層樓,委外場次
227,72003,23,聯永物業股份有限公司,健康2區社會住宅地下停車場,1,0905-118-571,105,臺北市松山區健康路 309 號地下第一至地下第三層樓,委外場次
